2023-02-15 11:19:14 WARN  FOUserAgent:94 - Font "Symbol,normal,700" not found. Substituting with "Symbol,normal,400".
2023-02-15 11:19:14 WARN  FOUserAgent:94 - Font "ZapfDingbats,normal,700" not found. Substituting with "ZapfDingbats,normal,400".
2023-02-15 11:19:14 INFO  FOUserAgent:83 - Rendered page #1.
2023-02-15 12:34:15 INFO  SecurityConfig:27 - Configuration complete
2023-02-15 12:49:50 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 12:49:50 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 12:49:51 WARN  FOUserAgent:94 - Font "Symbol,normal,700" not found. Substituting with "Symbol,normal,400".
2023-02-15 12:49:51 WARN  FOUserAgent:94 - Font "ZapfDingbats,normal,700" not found. Substituting with "ZapfDingbats,normal,400".
2023-02-15 12:49:51 INFO  FOUserAgent:83 - Rendered page #1.
2023-02-15 12:50:27 INFO  SecurityConfig:27 - Configuration complete
2023-02-15 12:53:03 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 12:53:03 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 12:53:03 WARN  FOUserAgent:94 - Font "Symbol,normal,700" not found. Substituting with "Symbol,normal,400".
2023-02-15 12:53:03 WARN  FOUserAgent:94 - Font "ZapfDingbats,normal,700" not found. Substituting with "ZapfDingbats,normal,400".
2023-02-15 12:53:04 INFO  FOUserAgent:83 - Rendered page #1.
2023-02-15 13:26:23 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 13:26:23 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 13:26:23 WARN  FOUserAgent:94 - Font "Symbol,normal,700" not found. Substituting with "Symbol,normal,400".
2023-02-15 13:26:23 WARN  FOUserAgent:94 - Font "ZapfDingbats,normal,700" not found. Substituting with "ZapfDingbats,normal,400".
2023-02-15 13:26:23 INFO  FOUserAgent:83 - Rendered page #1.
2023-02-15 13:27:41 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 13:27:41 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
